,subject,type,neighbour,shared,key
125,Kymouse 2,Kymouse/Kymouse,Kymouse 7,6.0373742213703885,clone_id
126,Kymouse 3,Kymouse/Kymouse,Kymouse 4,8.78260108524418,clone_id
127,Kymouse 3,Kymouse/Kymouse,Kymouse 5,10.691013247404225,clone_id
128,Kymouse 3,Kymouse/Kymouse,Kymouse 6,7.7833669688846046,clone_id
129,Kymouse 3,Kymouse/Kymouse,Kymouse 7,8.081776074109568,clone_id
130,Kymouse 4,Kymouse/Kymouse,Kymouse 5,7.841031149301826,clone_id
131,Kymouse 4,Kymouse/Kymouse,Kymouse 6,7.5923332749868715,clone_id
132,Kymouse 4,Kymouse/Kymouse,Kymouse 7,6.082618589182566,clone_id
133,Kymouse 5,Kymouse/Kymouse,Kymouse 6,9.022556390977442,clone_id
134,Kymouse 5,Kymouse/Kymouse,Kymouse 7,8.037952022914428,clone_id
135,Kymouse 6,Kymouse/Kymouse,Kymouse 7,7.059575147739977,clone_id
