,subject,type,neighbour,shared,key
73,Human 4,Human/Kymouse,Kymouse 3,0.5594476084874754,cdr3_aa
74,Human 4,Human/Kymouse,Kymouse 4,0.25200342724661057,cdr3_aa
75,Human 4,Human/Kymouse,Kymouse 5,0.20160274179728843,cdr3_aa
76,Human 4,Human/Kymouse,Kymouse 6,0.3780051408699158,cdr3_aa
77,Human 4,Human/Kymouse,Kymouse 7,0.23688322161181394,cdr3_aa
78,Human 5,Human/Human,Human 6,0.046796562579766866,cdr3_aa
79,Human 5,Human/Human,Human 7,0.05062009617818274,cdr3_aa
80,Human 5,Human/Human,Human 8,0.06892024942566459,cdr3_aa
81,Human 5,Human/Human,Human 9,0.036101083032490974,cdr3_aa
82,Human 5,Human/Human,Human 10,0.037029556318588834,cdr3_aa
83,Human 5,Human/Mouse,Mouse 1,0.03938299967180833,cdr3_aa
84,Human 5,Human/Mouse,Mouse 2,0.013127666557269446,cdr3_aa
85,Human 5,Human/Mouse,Mouse 3,0.02297341647522153,cdr3_aa
86,Human 5,Human/Mouse,Mouse 4,0.016938625712833832,cdr3_aa
87,Human 5,Human/Mouse,Mouse 5,0.02625533311453889,cdr3_aa
88,Human 5,Human/Kymouse,Kymouse 1,0.15096816540859861,cdr3_aa
89,Human 5,Human/Kymouse,Kymouse 2,0.1870692484410896,cdr3_aa
90,Human 5,Human/Kymouse,Kymouse 3,0.3938299967180834,cdr3_aa
91,Human 5,Human/Kymouse,Kymouse 4,0.2559894978667542,cdr3_aa
92,Human 5,Human/Kymouse,Kymouse 5,0.15753199868723333,cdr3_aa
93,Human 5,Human/Kymouse,Kymouse 6,0.2888086642599278,cdr3_aa
94,Human 5,Human/Kymouse,Kymouse 7,0.2461437479488021,cdr3_aa
95,Human 6,Human/Human,Human 7,0.05105079554156385,cdr3_aa
96,Human 6,Human/Human,Human 8,0.025525397770781926,cdr3_aa
97,Human 6,Human/Human,Human 9,0.05105079554156385,cdr3_aa
98,Human 6,Human/Human,Human 10,0.038288096656172894,cdr3_aa
99,Human 6,Human/Mouse,Mouse 1,0.05105079554156385,cdr3_aa
100,Human 6,Human/Mouse,Mouse 2,0.017016931847187954,cdr3_aa
101,Human 6,Human/Mouse,Mouse 3,0.02977963073257892,cdr3_aa
102,Human 6,Human/Mouse,Mouse 4,0.005646208570944611,cdr3_aa
103,Human 6,Human/Mouse,Mouse 5,0.03403386369437591,cdr3_aa
104,Human 6,Human/Kymouse,Kymouse 1,0.15315238662469158,cdr3_aa
105,Human 6,Human/Kymouse,Kymouse 2,0.22122011401344335,cdr3_aa
106,Human 6,Human/Kymouse,Kymouse 3,0.39564366544711993,cdr3_aa
107,Human 6,Human/Kymouse,Kymouse 4,0.2084574151280524,cdr3_aa
108,Human 6,Human/Kymouse,Kymouse 5,0.2042031821662554,cdr3_aa
109,Human 6,Human/Kymouse,Kymouse 6,0.3105590062111801,cdr3_aa
110,Human 6,Human/Kymouse,Kymouse 7,0.22547434697524038,cdr3_aa
111,Human 7,Human/Human,Human 8,0.05423581733376722,cdr3_aa
112,Human 7,Human/Human,Human 9,0.061467259644936184,cdr3_aa
113,Human 7,Human/Human,Human 10,0.039772932711429294,cdr3_aa
114,Human 7,Human/Mouse,Mouse 1,0.057851538489351706,cdr3_aa
115,Human 7,Human/Mouse,Mouse 2,0.014462884622337926,cdr3_aa
116,Human 7,Human/Mouse,Mouse 3,0.03254149040026033,cdr3_aa
117,Human 7,Human/Mouse,Mouse 4,0.022584834283778443,cdr3_aa
118,Human 7,Human/Mouse,Mouse 5,0.010847163466753445,cdr3_aa
119,Human 7,Human/Kymouse,Kymouse 1,0.15186028853454822,cdr3_aa
120,Human 7,Human/Kymouse,Kymouse 2,0.2133275481794844,cdr3_aa
121,Human 7,Human/Kymouse,Kymouse 3,0.40857649058104634,cdr3_aa
122,Human 7,Human/Kymouse,Kymouse 4,0.27479480782442056,cdr3_aa
123,Human 7,Human/Kymouse,Kymouse 5,0.18078605777922405,cdr3_aa
124,Human 7,Human/Kymouse,Kymouse 6,0.2820262501355896,cdr3_aa
125,Human 7,Human/Kymouse,Kymouse 7,0.19886466355714646,cdr3_aa
126,Human 8,Human/Human,Human 9,0.06356470887363336,cdr3_aa
127,Human 8,Human/Human,Human 10,0.06732646603379788,cdr3_aa
128,Human 8,Human/Mouse,Mouse 1,0.06674294431731503,cdr3_aa
129,Human 8,Human/Mouse,Mouse 2,0.03178235443681668,cdr3_aa
130,Human 8,Human/Mouse,Mouse 3,0.03178235443681668,cdr3_aa
131,Human 8,Human/Mouse,Mouse 4,0.033877251425667665,cdr3_aa
132,Human 8,Human/Mouse,Mouse 5,0.028604118993135013,cdr3_aa
