,mean,lower,upper
VD insertion,-3.7292999999999994,-3.77842,-3.6791
DJ insertion,-3.68188,-3.7347,-3.6302200000000004
IGHD gene,-2.3354,-2.410779999999999,-2.2584000000000017
IGHV gene,0.14292000000000016,0.11887999999999987,0.16368000000000027
IGHJ gene,-0.8508599999999991,-0.9415399999999998,-0.7667000000000002
